,industry_demand,allBidQuantity,allCurrentSOC,price
0,18.02,36.04,18.02,45.53
1,17.91,17.8,17.91,26.13
2,17.8,35.25,35.36,24.97
3,17.68,0.0,17.68,27.13
4,17.41,34.029999999999994,34.3,24.31
5,17.15,0.0,17.15,25.0
6,16.97,49.910000000000004,50.09,23.72
7,16.85,0.0,33.24,23.73
8,16.62,0.0,16.62,24.27
9,16.45,16.279999999999998,16.45,23.68
10,16.3,49.069999999999794,49.2199999999998,23.68
11,16.12,100.0,133.0999999999998,23.68
12,16.12,100.0,216.9799999999998,23.68
13,16.01,100.0,300.9699999999998,23.32
14,15.92,100.0,385.0499999999998,23.66
15,15.82,100.0,469.2299999999998,23.68
16,15.88,100.0,553.3499999999998,23.32
17,15.84,100.0,637.5099999999998,23.21
18,15.8,100.0,721.7099999999998,22.16
19,15.78,100.0,805.9299999999998,22.16
20,15.75,100.0,890.1799999999998,23.68
21,15.57,100.0,974.6099999999999,22.0
22,15.44,100.0,1059.1699999999998,23.66
23,15.24,100.0,1143.9299999999998,20.58
24,15.08,0.0,1128.85,23.73
25,14.92,100.0,1213.9299999999998,19.39
26,14.94,0.0,1198.9899999999998,23.84
27,14.96,100.0,1284.0299999999997,21.76
28,15.02,0.0,1269.0099999999998,23.84
29,15.08,0.0,1253.9299999999998,23.68
30,15.12,0.0,1238.81,23.84
31,15.21,0.0,1223.6,23.78
32,15.31,0.0,1208.29,24.27
33,15.31,0.0,1192.98,23.81
34,15.45,0.0,1177.53,24.53
35,15.6,0.0,1161.93,23.81
36,15.97,0.0,1145.96,24.65
37,16.18,0.0,1129.78,24.53
38,16.36,0.0,1113.42,24.65
39,16.63,0.0,1096.79,24.87
40,16.93,0.0,1079.86,24.92
41,17.21,0.0,1062.6499999999999,25.18
42,17.53,0.0,1045.12,25.18
43,17.84,0.0,1027.28,26.76
44,18.12,0.0,1009.16,27.0
45,18.45,0.0,990.7099999999999,27.54
46,18.68,0.0,972.03,25.3
47,18.78,0.0,953.25,27.57
48,18.88,0.0,934.37,26.13
49,18.88,0.0,915.49,27.57
50,18.84,0.0,896.65,26.5
51,18.8,0.0,877.85,26.13
52,18.69,0.0,859.16,25.18
53,18.55,0.0,840.61,25.3
54,18.53,0.0,822.08,25.3
55,18.47,0.0,803.61,25.18
56,18.48,0.0,785.13,26.77
57,18.39,0.0,766.74,25.12
58,18.35,0.0,748.39,27.13
59,18.28,0.0,730.11,25.3
60,18.49,0.0,711.62,27.56
61,18.55,0.0,693.07,27.56
62,18.61,0.0,674.46,27.83
63,18.67,0.0,655.7900000000001,27.92
64,18.98,0.0,636.8100000000001,27.99
65,19.36,0.0,617.45,28.23
66,19.87,0.0,597.58,29.51
67,20.37,0.0,577.21,29.75
68,20.8,0.0,556.4100000000001,32.08
69,21.03,0.0,535.3800000000001,29.69
70,21.22,0.0,514.1600000000001,31.56
71,21.28,0.0,492.88000000000005,30.97
72,21.42,0.0,471.46000000000004,30.8
73,21.37,0.0,450.09000000000003,29.46
74,21.39,0.0,428.70000000000005,29.73
75,21.18,0.0,407.52000000000004,28.23
76,21.17,0.0,386.35,29.49
77,20.91,0.0,365.44,27.86
78,20.75,0.0,344.69,28.23
79,20.46,0.0,324.23,25.53
80,20.42,0.0,303.81,28.23
81,20.14,0.0,283.67,24.92
82,19.81,0.0,263.86,27.81
83,19.61,0.0,244.25,24.73
84,19.59,0.0,224.66,27.61
85,19.52,0.0,205.14,24.63
86,19.39,0.0,185.75,27.0
87,19.36,0.0,166.39000000000001,24.56
88,19.68,0.0,146.71,27.92
89,19.44,0.0,127.27,24.63
90,19.14,0.0,108.13,25.3
91,18.88,0.0,89.25,24.53
92,18.48,0.0,70.77,25.12
93,18.12,0.0,52.65,23.84
94,17.75,0.0,34.9,24.56
95,17.45,0.0,17.45,23.81
96,17.11,34.22,17.11,24.53
97,16.69,32.60000000000001,33.02,21.91
98,16.51,0.0,16.51,23.84
99,16.29,100.0,100.22000000000001,21.74
100,16.13,0.0,84.09000000000002,23.72
101,15.88,100.0,168.21000000000004,19.52
102,15.81,0.0,152.40000000000003,23.68
103,15.73,100.0,236.67000000000002,19.39
104,15.61,0.0,221.06,22.16
105,15.54,100.0,305.52,19.33
106,15.48,0.0,290.03999999999996,22.11
107,15.46,100.0,374.5799999999999,19.28
108,15.46,0.0,359.11999999999995,22.06
109,15.43,100.0,443.68999999999994,19.11
110,15.42,0.0,428.2699999999999,21.8
111,15.48,100.0,512.79,17.91
112,15.61,100.0,597.18,17.91
113,15.66,100.0,681.52,17.91
114,15.74,100.0,765.78,17.89
115,15.83,100.0,849.9499999999999,17.89
116,15.96,0.0,833.9899999999999,21.8
117,15.96,100.0,918.0299999999999,16.13
118,16.06,58.80000000000007,960.77,21.74
119,16.18,100.0,1044.59,21.72
120,16.28,100.0,1128.31,17.19
121,16.33,100.0,1211.98,15.94
122,16.51,0.0,1195.47,21.8
123,16.8,100.0,1278.67,21.72
124,17.23,0.0,1261.44,23.21
125,17.49,0.0,1243.95,21.76
126,17.81,0.0,1226.14,23.32
127,18.33,0.0,1207.8100000000002,23.84
128,18.77,0.0,1189.0400000000002,23.81
129,19.15,0.0,1169.89,24.56
130,19.41,0.0,1150.48,23.84
131,19.84,0.0,1130.64,24.75
132,20.4,0.0,1110.24,24.87
133,20.73,0.0,1089.51,24.65
134,21.12,0.0,1068.39,25.18
135,21.39,0.0,1047.0,24.73
136,21.74,0.0,1025.26,24.87
137,21.87,0.0,1003.39,24.65
138,22.03,0.0,981.36,24.87
139,22.15,0.0,959.21,24.56
140,22.41,0.0,936.8000000000001,25.18
141,22.65,0.0,914.1500000000001,24.65
142,22.89,0.0,891.2600000000001,25.3
143,22.98,0.0,868.2800000000001,24.92
144,22.98,0.0,845.3000000000001,25.3
145,22.96,0.0,822.34,25.07
146,23.03,0.0,799.3100000000001,25.12
147,22.89,0.0,776.4200000000001,24.53
148,22.79,0.0,753.6300000000001,25.0
149,22.64,0.0,730.9900000000001,24.42
150,22.57,0.0,708.4200000000001,24.65
151,22.48,0.0,685.94,24.32
152,22.49,0.0,663.45,24.56
153,22.47,0.0,640.98,24.32
154,22.38,0.0,618.6,24.56
155,22.32,0.0,596.28,23.84
156,22.44,0.0,573.8399999999999,24.92
157,22.44,0.0,551.3999999999999,24.27
158,22.48,0.0,528.9199999999998,25.0
159,22.53,0.0,506.3899999999999,23.92
160,22.81,0.0,483.57999999999987,25.3
161,23.01,0.0,460.5699999999999,24.42
162,23.34,0.0,437.2299999999999,26.59
163,23.78,0.0,413.44999999999993,24.56
164,24.19,0.0,389.25999999999993,26.65
165,24.44,0.0,364.81999999999994,24.53
166,24.64,0.0,340.17999999999995,25.18
167,24.78,0.0,315.4,24.65
168,24.82,0.0,290.58,25.3
169,24.8,0.0,265.78,24.53
170,24.67,0.0,241.10999999999999,25.3
171,24.46,0.0,216.64999999999998,24.27
172,24.44,0.0,192.20999999999998,25.18
173,24.17,0.0,168.04,23.84
174,24.01,0.0,144.03,24.92
175,23.77,0.0,120.25999999999999,23.81
176,23.29,0.0,96.96999999999998,24.56
177,22.8,0.0,74.16999999999999,23.66
178,22.41,0.0,51.75999999999999,23.84
179,22.03,100.0,129.73,21.72
180,21.82,0.0,107.91,23.73
181,21.73,0.0,86.17999999999999,21.76
182,21.49,0.0,64.69,23.68
183,21.43,0.0,43.26,22.06
184,21.63,0.0,21.63,24.43
185,21.44,42.17,42.36,19.65
186,21.18,0.0,21.18,23.84
187,20.89,40.89,41.18,19.39
188,20.59,0.0,20.59,23.68
189,20.31,39.58,39.86,19.28
190,19.93,0.0,19.93,22.06
191,19.55,19.17,19.55,19.01
192,19.24,38.48,19.24,19.01
193,18.88,18.52,18.88,17.89
194,18.48,87.63999999999986,88.03999999999985,17.89
195,18.2,0.0,69.83999999999985,17.89
196,17.89,0.0,51.94999999999985,17.89
197,17.72,100.0,134.22999999999985,16.84
198,17.48,100.0,216.74999999999986,13.3
199,17.34,100.0,299.40999999999985,13.19
200,17.28,0.0,282.1299999999998,19.39
201,17.14,100.0,364.98999999999984,17.78
202,17.04,0.0,347.9499999999998,19.88
203,17.02,100.0,430.92999999999984,17.78
204,16.94,0.0,413.98999999999984,21.74
205,16.95,100.0,497.03999999999985,15.94
206,16.96,100.0,580.0799999999998,17.19
207,16.86,100.0,663.2199999999998,13.18
208,16.91,100.0,746.3099999999998,13.09
209,16.89,100.0,829.4199999999998,13.88
210,16.95,0.0,812.4699999999998,21.74
211,16.86,100.0,895.6099999999998,15.94
212,16.88,100.0,978.7299999999998,17.23
213,16.75,100.0,1061.9799999999998,15.94
214,16.65,100.0,1145.3299999999997,17.23
215,16.5,100.0,1228.8299999999997,15.94
216,16.3,100.0,1312.5299999999997,13.03
217,16.38,0.0,1296.1499999999996,23.32
218,16.48,100.0,1379.6699999999996,17.59
219,16.63,0.0,1363.0399999999995,22.06
220,16.78,100.0,1446.2599999999995,17.59
221,16.9,0.0,1429.3599999999994,19.01
222,17.28,0.0,1412.0799999999995,23.72
223,17.57,0.0,1394.5099999999995,23.87
224,17.83,0.0,1376.6799999999996,23.72
225,18.1,0.0,1358.5799999999997,24.57
226,18.32,0.0,1340.2599999999998,23.85
227,18.6,0.0,1321.6599999999999,24.8
228,19.07,0.0,1302.59,24.57
229,19.4,0.0,1283.1899999999998,25.07
230,19.77,0.0,1263.4199999999998,24.8
231,20.07,0.0,1243.35,25.0
232,20.42,0.0,1222.9299999999998,24.6
233,20.72,0.0,1202.2099999999998,24.91
234,20.95,0.0,1181.2599999999998,24.68
235,21.32,0.0,1159.9399999999998,26.61
236,21.58,0.0,1138.36,24.68
237,21.96,0.0,1116.3999999999999,27.3
238,22.34,0.0,1094.06,25.0
239,22.33,0.0,1071.73,27.56
240,22.29,0.0,1049.44,24.57
241,22.22,0.0,1027.22,27.04
242,22.05,0.0,1005.17,24.46
243,21.81,0.0,983.36,24.91
244,21.66,0.0,961.7,24.31
245,21.49,0.0,940.21,24.37
246,21.42,0.0,918.7900000000001,24.2
247,21.15,0.0,897.6400000000001,23.87
248,21.1,0.0,876.5400000000001,24.57
249,20.96,0.0,855.58,23.87
250,20.81,0.0,834.7700000000001,24.27
251,20.62,0.0,814.1500000000001,23.87
252,20.82,0.0,793.33,24.31
253,20.81,0.0,772.5200000000001,24.31
254,20.92,0.0,751.6000000000001,24.32
255,20.94,0.0,730.6600000000001,24.31
256,21.12,0.0,709.5400000000001,24.57
257,21.37,0.0,688.1700000000001,24.65
258,21.83,0.0,666.34,24.88
259,22.39,0.0,643.95,24.95
260,22.97,0.0,620.98,26.42
261,23.12,0.0,597.86,25.18
262,23.47,0.0,574.39,25.3
263,23.65,0.0,550.74,25.18
264,23.86,0.0,526.88,25.18
265,23.74,0.0,503.14,25.12
266,23.67,0.0,479.46999999999997,25.12
267,23.63,0.0,455.84,25.0
268,23.55,0.0,432.28999999999996,25.17
269,23.33,0.0,408.96,24.65
270,23.11,0.0,385.84999999999997,24.57
271,22.95,0.0,362.9,24.6
272,22.89,0.0,340.01,24.68
273,22.51,0.0,317.5,23.87
274,22.14,0.0,295.36,24.57
275,21.77,0.0,273.59000000000003,23.71
276,21.87,0.0,251.72000000000003,24.95
277,21.75,0.0,229.97000000000003,23.68
278,21.57,0.0,208.40000000000003,24.57
279,21.65,0.0,186.75000000000003,23.73
280,22.01,0.0,164.74000000000004,27.39
281,21.74,0.0,143.00000000000003,23.68
282,21.3,0.0,121.70000000000002,24.57
283,21.01,0.0,100.69000000000001,21.74
284,20.7,0.0,79.99000000000001,24.46
285,20.51,0.0,59.480000000000004,19.63
286,20.14,0.0,39.34,23.87
287,19.67,0.0,19.67,19.39
